               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072466,            0.045172,            0.014752,              0.7352,             0.40086,             0.42877,             0.19633,            0.053434,            0.050708,            0.007511,             0.07016,           0.0033155,           0.0033155
                   1,            0.055884,            0.031979,           0.0062322,             0.53588,              0.6385,             0.61835,             0.31056,            0.046622,            0.046154,           0.0050802,            0.040095,            0.006583,            0.006583
                   2,             0.05119,            0.030335,           0.0045997,             0.78663,             0.67735,             0.76241,             0.39282,            0.043752,            0.044335,           0.0036884,           0.0099628,           0.0097845,           0.0097845
                   3,            0.044904,            0.029218,           0.0036088,             0.86478,             0.72208,             0.80816,             0.43376,            0.035978,            0.042352,           0.0031525,            0.009703,            0.009703,            0.009703
                   4,            0.040262,            0.027834,              0.0028,             0.84805,             0.75506,             0.83121,             0.47688,            0.034062,            0.042428,           0.0028147,            0.009703,            0.009703,            0.009703
                   5,            0.038106,            0.026929,           0.0025925,             0.83446,             0.77529,             0.83588,             0.48479,            0.033286,            0.040277,           0.0025573,            0.009604,            0.009604,            0.009604
                   6,            0.036371,            0.026349,           0.0022233,             0.85034,             0.79987,             0.86242,             0.50488,            0.032187,            0.040155,           0.0022878,            0.009505,            0.009505,            0.009505
                   7,            0.034827,            0.025398,           0.0020331,             0.89448,             0.79959,             0.87659,             0.53544,            0.030138,            0.038417,           0.0021061,            0.009406,            0.009406,            0.009406
                   8,            0.034161,            0.025704,           0.0019402,             0.89995,             0.79541,              0.8713,             0.54257,            0.029381,             0.03736,           0.0020575,            0.009307,            0.009307,            0.009307
                   9,            0.033003,            0.024645,           0.0018368,             0.89962,             0.82144,             0.89174,             0.55287,            0.028398,            0.036813,           0.0018836,            0.009208,            0.009208,            0.009208
                  10,             0.03198,            0.024117,           0.0016966,             0.89457,             0.82444,             0.88678,              0.5593,            0.028462,            0.037236,           0.0017894,            0.009109,            0.009109,            0.009109
                  11,            0.030999,             0.02345,           0.0016017,             0.90042,             0.81781,             0.89622,             0.57244,            0.027811,             0.03643,           0.0017366,             0.00901,             0.00901,             0.00901
